COMMON_NAME,classification
Red-throated Loon,L
Rufous Fantail,L
Pectoral Sandpiper,L
Golden Eagle,R
Javan Myna,L
Chestnut-fronted Macaw,L
Cockatiel,L
Caribbean Martin,L
Puerto Rican Tody,L
Smoky Bush-Tyrant,L
Tufted Tit-Tyrant,L
Plain-colored Seedeater,L
Rusty Flowerpiercer,L
Meadow Pipit,L
Ring Ouzel,L
Cassin's Finch,L
Sooty Tern,L
Black-necked Stork,W
Brush Cuckoo,L
Orange-fronted Parakeet,L
Red-lored Parrot,L
Green Jay,L
Wompoo Fruit-Dove,L
Yellow-green Vireo,L
Blue-and-black Tanager,L
White-winged Brushfinch,L
Brown-backed Chat-Tyrant,L
White-throated Tyrannulet,L
Stygian Owl,R
White-collared Swift,L
Smoke-colored Pewee,L
Tawny-rumped Tyrannulet,L
Fork-tailed Flycatcher,L
Piratic Flycatcher,L
American Pygmy Kingfisher,W
Striated Heron,W
Black-tailed Godwit,W
Purple Heron,W
Oak Titmouse,L
Chihuahuan Raven,L
Lewin's Honeyeater,L
Chestnut-breasted Munia,L
Plumed Whistling-Duck,W
Ferruginous Pygmy-Owl,R
Key West Quail-Dove,L
Puerto Rican Vireo,L
Glossy-black Thrush,L
Blue-black Grassquit,L
Bassian Thrush,L
Eurasian Siskin,L
Baird's Sandpiper,W
Japanese Paradise-Flycatcher,L
Scarlet Robin,L
Crimson Rosella,L
Gray Shrikethrush,L
Gray Currawong,L
Nelson's Sparrow,L
Sprague's Pipit,L
Mangrove Gerygone,L
Marsh Sandpiper,W
White-winged Tern,W
Curlew Sandpiper,W
Powerful Owl,R
Rose Robin,L
Fieldfare,L
Rustic Bunting,L
Clapper Rail,W
Cordilleran Flycatcher,L
Brown Falcon,R
Australasian Pipit,L
Boreal Chickadee,L
Zebra Finch,L
Square-tailed Kite,R
Spiny-cheeked Honeyeater,L
Ferruginous Hawk,R
Crested Myna,L
Olive Whistler,L
Pacific Golden-Plover,W
Tropical Mockingbird,L
Snowy-throated Kingbird,L
White-bellied Woodstar,L
Tropical Parula,L
Giant Hummingbird,L
Large Elaenia,L
Grassland Yellow-Finch,L
Band-winged Nightjar,L
Sapphire-vented Puffleg,L
Rufous-chested Tanager,L
Variable Hawk,R
Sierran Elaenia,L
Rock Martin,L
Taiga Flycatcher,L
European Scops-Owl,R
Savi's Warbler,L
Thrush Nightingale,L
European Turtle-Dove,L
Common Cuckoo,L
Trumpeter Swan,W
White Cockatoo,L
Bush Thick-knee,W
Loggerhead Kingbird,L
White-winged Scoter,W
Red-tailed Black-Cockatoo,L
Sacred Ibis,W
Marsh Tit,L
Hawfinch,L
Bar-tailed Godwit,W
Brambling,L
Eurasian Bullfinch,L
Magnificent Frigatebird,W
Yellow-faced Honeyeater,L
Lewin's Rail,W
Lark Bunting,L
Sagebrush Sparrow,L
Scaled Quail,L
Rufous-crowned Sparrow,L
Leaden Flycatcher,L
White-rumped Hawk,R
White-sided Flowerpiercer,L
Blue-capped Tanager,L
Indian Roller,L
Lesser Kestrel,R
Eastern Whipbird,L
Noisy Pitta,L
Sanderling,W
Scarlet Myzomela,L
Swift Parrot,L
Striated Swallow,L
Pelagic Cormorant,W
Le Conte's Thrasher,L
Plain Chachalaca,L
Northern Beardless-Tyrannulet,L
Dusky-capped Flycatcher,L
Brown-headed Nuthatch,L
Green-tailed Trainbearer,L
Java Sparrow,L
Puerto Rican Emerald,L
Ruddy Shelduck,W
Red-necked Stint,W
Brown Shrike,L
White-throated Gerygone,L
Corn Bunting,L
White-throated Honeyeater,L
Eurasian Hobby,R
